# Hand-labelled message crops. <png relative to this file>\t<exact text as shown>.
# Apostrophes in game text are typographic (’), not ASCII.
crops/sunroom_7_15_2026_0522.198.png	Venusaur lost some of its HP!
crops/sunroom_7_15_2026_0524.282.png	Pyroar used Heat Wave!
crops/sunroom_7_15_2026_0529.732.png	The opposing Sylveon used Hyper Beam!
crops/sunroom_7_15_2026_0539.767.png	It’s not very effective on Pyroar.
crops/sunroom_7_15_2026_0554.768.png	Venusaur used Sludge Bomb!
crops/sunroom_7_15_2026_0558.052.png	It’s super effective on the opposing Sylveon!
crops/sunroom_7_15_2026_0560.002.png	The opposing Sylveon fainted!
crops/sunroom_7_15_2026_0568.602.png	You defeated Porks619!
crops/sunroom_7_15_2026_0097.592.png	Go! Pyroar the Early Riser and Yertle!
crops/sunroom_7_15_2026_0104.293.png	Pyroar and Yertle’s Attack fell!
crops/sunroom_7_15_2026_0138.697.png	The opposing Staraptor’s Staraptite is reacting to Porks619’s Omni Ring!
crops/sunroom_7_15_2026_0140.097.png	The opposing Staraptor’s Staraptite is reacting to Porks619’s Omni Ring!
crops/sunroom_7_15_2026_0148.330.png	The opposing Staraptor has Mega Evolved into Mega Staraptor!
crops/sunroom_7_15_2026_0156.198.png	The opposing Whimsicott used Charm!
crops/sunroom_7_15_2026_0159.865.png	The opposing Staraptor’s Attack rose sharply!
crops/sunroom_7_15_2026_0162.232.png	The opposing Staraptor used Close Combat!
crops/sunroom_7_15_2026_0167.482.png	The opposing Staraptor’s Defense and Sp. Def rose!
crops/sunroom_7_15_2026_0169.682.png	Yertle fainted!
crops/202607_a_MYVX1527_0065.523.png	Toxapex used Baneful Bunker!
crops/202607_a_MYVX1527_0071.523.png	The opposing Scovillain used Rage Powder!
crops/202607_a_MYVX1527_0077.790.png	The opposing Garchomp used Breaking Swipe!
crops/202607_a_MYVX1527_0139.863.png	Toxapex used Toxic!
crops/202607_a_MYVX1527_0146.830.png	The opposing Scovillain was badly poisoned!
crops/202607_a_MYVX1527_0155.732.png	Toxapex’s health is sapped by Leech Seed!
crops/202607_a_MYVX1527_0157.632.png	The opposing Scovillain was hurt by its poisoning!
crops/202607_a_MYVX1527_0193.602.png	Grimmsnarl went back to Molly!
crops/202607_a_MYVX1527_0210.103.png	The opposing Kingambit used Iron Head!
crops/202607_a_MYVX1527_0214.203.png	It’s not very effective on Charizard.
crops/202607_a_MYVX1527_0217.270.png	Toxapex used Infestation!
crops/202607_a_MYVX1527_0221.737.png	The opposing Kingambit has been afflicted with an infestation by Toxapex!
crops/202607_a_MYVX1527_0281.108.png	Charizard’s Charizardite Y is reacting to Molly’s Omni Ring!
crops/202608_a_GJUN5795_0012.885.png	Loggy sent out Chandelure and Farigiraf!
crops/202608_a_GJUN5795_0016.918.png	Go! Kingambit and Basculegion!
crops/202608_a_GJUN5795_0049.688.png	Kingambit used Kowtow Cleave!
crops/202608_a_KCUI3658_0011.702.png	sam sent out Overqwil and Audino!
crops/202608_a_KCUI3658_0066.773.png	The opposing Overqwil used Will-O-Wisp!
crops/202608_a_KCUI3658_0077.473.png	Tyranitar used High Horsepower!
crops/sunroom_7_15_2026_0310.795.png	Pyroar used Yawn!
crops/sunroom_7_15_2026_0315.278.png	The opposing STAR PLTNM grew drowsy!
crops/sunroom_7_15_2026_0338.248.png	Pyroar, come back!
crops/sunroom_7_15_2026_0352.782.png	The opposing Whimsicott cannot use Encore!
crops/sunroom_7_15_2026_0354.617.png	The opposing STAR PLTNM used Darkest Lariat!
crops/sunroom_7_15_2026_0407.453.png	Venusaur used Earth Power!
crops/sunroom_7_15_2026_0468.393.png	Farigiraf used Thunderbolt!
crops/sunroom_7_15_2026_0487.462.png	The twisted dimensions returned to normal!
